,Date,Price
0,04/04/2025,$188.38
1,04/03/2025,$203.19
2,04/02/2025,$223.89
3,04/01/2025,$223.19
4,03/31/2025,$222.13
5,03/28/2025,$217.90
6,03/27/2025,$223.85
7,03/26/2025,$221.53
8,03/25/2025,$223.75
9,03/24/2025,$220.73
10,03/21/2025,$218.27
11,03/20/2025,$214.10
12,03/19/2025,$215.24
13,03/18/2025,$212.69
14,03/17/2025,$214.00
15,03/14/2025,$213.49
16,03/13/2025,$209.68
17,03/12/2025,$216.98
18,03/11/2025,$220.84
19,03/10/2025,$227.48
20,03/07/2025,$239.07
21,03/06/2025,$235.33
22,03/05/2025,$235.74
23,03/04/2025,$235.93
24,03/03/2025,$238.03
25,02/28/2025,$241.84
26,02/27/2025,$237.30
27,02/26/2025,$240.36
28,02/25/2025,$247.04
29,02/24/2025,$247.10
30,02/21/2025,$245.55
31,02/20/2025,$245.83
32,02/19/2025,$244.87
33,02/18/2025,$244.47
34,02/14/2025,$244.60
35,02/13/2025,$241.53
36,02/12/2025,$236.87
37,02/11/2025,$232.62
38,02/10/2025,$227.65
39,02/07/2025,$227.63
40,02/06/2025,$233.22
41,02/05/2025,$232.47
42,02/04/2025,$232.80
43,02/03/2025,$228.01
44,01/31/2025,$236.00
45,01/30/2025,$237.59
46,01/29/2025,$239.36
47,01/28/2025,$238.26
48,01/27/2025,$229.86
49,01/24/2025,$222.78
50,01/23/2025,$223.66
51,01/22/2025,$223.83
52,01/21/2025,$222.64
53,01/17/2025,$229.98
54,01/16/2025,$228.26
55,01/15/2025,$237.87
56,01/14/2025,$233.28
57,01/13/2025,$234.40
58,01/10/2025,$236.85
59,01/08/2025,$242.70
60,01/07/2025,$242.21
61,01/06/2025,$245.00
62,01/03/2025,$243.36
63,01/02/2025,$243.85
64,12/31/2024,$250.42
65,12/30/2024,$252.20
66,12/27/2024,$255.59
67,12/26/2024,$259.02
68,12/24/2024,$258.20
69,12/23/2024,$255.27
70,12/20/2024,$254.49
71,12/19/2024,$249.79
72,12/18/2024,$248.05
73,12/17/2024,$253.48
74,12/16/2024,$251.04
75,12/13/2024,$248.13
76,12/12/2024,$247.96
77,12/11/2024,$246.49
78,12/10/2024,$247.77
79,12/09/2024,$246.75
80,12/06/2024,$242.84
81,12/05/2024,$243.04
82,12/04/2024,$243.01
83,12/03/2024,$242.65
84,12/02/2024,$239.59
85,11/29/2024,$237.33
86,11/27/2024,$234.93
87,11/26/2024,$235.06
88,11/25/2024,$232.87
89,11/22/2024,$229.87
90,11/21/2024,$228.52
91,11/20/2024,$229.00
92,11/19/2024,$228.28
93,11/18/2024,$228.02
94,11/15/2024,$225.00
95,11/14/2024,$228.22
96,11/13/2024,$225.12
97,11/12/2024,$224.23
98,11/11/2024,$224.23
99,11/08/2024,$226.96
100,11/07/2024,$227.48
101,11/06/2024,$222.72
102,11/05/2024,$223.45
103,11/04/2024,$222.01
104,11/01/2024,$222.91
105,10/31/2024,$225.91
106,10/30/2024,$230.10
107,10/29/2024,$233.67
108,10/28/2024,$233.40
109,10/25/2024,$231.41
110,10/24/2024,$230.57
111,10/23/2024,$230.76
112,10/22/2024,$235.86
113,10/21/2024,$236.48
114,10/18/2024,$235.00
115,10/17/2024,$232.15
116,10/16/2024,$231.78
117,10/15/2024,$233.85
118,10/14/2024,$231.30
119,10/11/2024,$227.55
120,10/10/2024,$229.04
121,10/09/2024,$229.54
122,10/08/2024,$225.77
123,10/07/2024,$221.69
124,10/04/2024,$226.80
125,10/03/2024,$225.67
126,10/02/2024,$226.78
127,10/01/2024,$226.21
128,09/30/2024,$233.00
129,09/27/2024,$227.79
130,09/26/2024,$227.52
131,09/25/2024,$226.37
132,09/24/2024,$227.37
133,09/23/2024,$226.47
134,09/20/2024,$228.20
135,09/19/2024,$228.87
136,09/18/2024,$220.69
137,09/17/2024,$216.79
138,09/16/2024,$216.32
139,09/13/2024,$222.50
140,09/12/2024,$222.77
141,09/11/2024,$222.66
142,09/10/2024,$220.11
143,09/09/2024,$220.91
144,09/06/2024,$220.82
145,09/05/2024,$222.38
146,09/04/2024,$220.85
147,09/03/2024,$222.77
148,08/30/2024,$229.00
149,08/29/2024,$229.79
150,08/28/2024,$226.49
151,08/27/2024,$228.03
152,08/26/2024,$227.18
153,08/23/2024,$226.84
154,08/22/2024,$224.53
155,08/21/2024,$226.40
156,08/20/2024,$226.51
157,08/19/2024,$225.89
158,08/16/2024,$226.05
159,08/15/2024,$224.72
160,08/14/2024,$221.72
161,08/13/2024,$221.27
162,08/12/2024,$217.53
163,08/09/2024,$216.24
164,08/08/2024,$213.31
165,08/07/2024,$209.82
166,08/06/2024,$207.23
167,08/05/2024,$209.27
168,08/02/2024,$219.86
169,08/01/2024,$218.36
170,07/31/2024,$222.08
171,07/30/2024,$218.80
172,07/29/2024,$218.24
173,07/26/2024,$217.96
174,07/25/2024,$217.49
175,07/24/2024,$218.54
176,07/23/2024,$225.01
177,07/22/2024,$223.96
178,07/19/2024,$224.31
179,07/18/2024,$224.18
180,07/17/2024,$228.88
181,07/16/2024,$234.82
182,07/15/2024,$234.40
183,07/12/2024,$230.54
184,07/11/2024,$227.57
185,07/10/2024,$232.98
186,07/09/2024,$228.68
187,07/08/2024,$227.82
188,07/05/2024,$226.34
189,07/03/2024,$221.55
190,07/02/2024,$220.27
191,07/01/2024,$216.75
192,06/28/2024,$210.62
193,06/27/2024,$214.10
194,06/26/2024,$213.25
195,06/25/2024,$209.07
196,06/24/2024,$208.14
197,06/21/2024,$207.49
198,06/20/2024,$209.68
199,06/18/2024,$214.29
200,06/17/2024,$216.67
201,06/14/2024,$212.49
202,06/13/2024,$214.24
203,06/12/2024,$213.07
204,06/11/2024,$207.15
205,06/10/2024,$193.12
206,06/07/2024,$196.89
207,06/06/2024,$194.48
208,06/05/2024,$195.87
209,06/04/2024,$194.35
210,06/03/2024,$194.03
211,05/31/2024,$192.25
212,05/30/2024,$191.29
213,05/29/2024,$190.29
214,05/28/2024,$189.99
215,05/24/2024,$189.98
216,05/23/2024,$186.88
217,05/22/2024,$190.90
218,05/21/2024,$192.35
219,05/20/2024,$191.04
220,05/17/2024,$189.87
221,05/16/2024,$189.84
222,05/15/2024,$189.72
223,05/14/2024,$187.43
224,05/13/2024,$186.28
225,05/10/2024,$183.05
226,05/09/2024,$184.57
227,05/08/2024,$182.74
228,05/07/2024,$182.40
229,05/06/2024,$181.71
230,05/03/2024,$183.38
231,05/02/2024,$173.03
232,05/01/2024,$169.30
233,04/30/2024,$170.33
234,04/29/2024,$173.50
235,04/26/2024,$169.30
236,04/25/2024,$169.89
237,04/24/2024,$169.02
238,04/23/2024,$166.90
239,04/22/2024,$165.84
240,04/19/2024,$165.00
241,04/18/2024,$167.04
242,04/17/2024,$168.00
243,04/16/2024,$169.38
244,04/15/2024,$172.69
245,04/12/2024,$176.55
246,04/11/2024,$175.04
247,04/10/2024,$167.78
248,04/09/2024,$169.67
249,04/08/2024,$168.45
250,04/05/2024,$169.58
251,04/04/2024,$168.82
252,04/03/2024,$169.65
253,04/02/2024,$168.84
254,04/01/2024,$170.03
255,03/28/2024,$171.48
256,03/27/2024,$173.31
257,03/26/2024,$169.71
258,03/25/2024,$170.85
259,03/22/2024,$172.28
260,03/21/2024,$171.37
261,03/20/2024,$178.67
262,03/19/2024,$176.08
263,03/18/2024,$173.72
264,03/15/2024,$172.62
265,03/14/2024,$173.00
266,03/13/2024,$171.13
267,03/12/2024,$173.23
268,03/11/2024,$172.75
269,03/08/2024,$170.73
270,03/07/2024,$169.00
271,03/06/2024,$169.12
272,03/05/2024,$170.12
