,Date,Price
0,04/04/2025,$85.76
1,04/03/2025,$93.80
2,04/02/2025,$102.96
3,04/01/2025,$102.78
4,03/31/2025,$102.74
5,03/28/2025,$103.22
6,03/27/2025,$106.65
7,03/26/2025,$110.19
8,03/25/2025,$114.81
9,03/24/2025,$113.85
10,03/21/2025,$106.44
11,03/20/2025,$107.14
12,03/19/2025,$106.23
13,03/18/2025,$103.51
14,03/17/2025,$104.59
15,03/14/2025,$100.97
16,03/13/2025,$98.11
17,03/12/2025,$100.79
18,03/11/2025,$96.76
19,03/10/2025,$96.63
20,03/07/2025,$100.31
21,03/06/2025,$98.85
22,03/05/2025,$101.67
23,03/04/2025,$100.75
24,03/03/2025,$98.23
25,02/28/2025,$99.86
26,02/27/2025,$99.51
27,02/26/2025,$104.74
28,02/25/2025,$103.96
29,02/24/2025,$108.11
30,02/21/2025,$110.84
31,02/20/2025,$114.17
32,02/19/2025,$114.69
33,02/18/2025,$114.28
34,02/14/2025,$113.10
35,02/13/2025,$111.81
36,02/12/2025,$111.72
37,02/11/2025,$111.10
38,02/10/2025,$110.48
39,02/07/2025,$107.56
40,02/06/2025,$110.16
41,02/05/2025,$112.01
42,02/04/2025,$119.50
43,02/03/2025,$114.27
44,01/31/2025,$115.95
45,01/30/2025,$118.86
46,01/29/2025,$117.35
47,01/28/2025,$114.17
48,01/27/2025,$115.01
49,01/24/2025,$122.84
50,01/23/2025,$123.04
51,01/22/2025,$123.75
52,01/21/2025,$122.28
53,01/17/2025,$121.46
54,01/16/2025,$118.44
55,01/15/2025,$119.96
56,01/14/2025,$116.09
57,01/13/2025,$117.32
58,01/10/2025,$116.04
59,01/08/2025,$121.84
60,01/07/2025,$127.33
61,01/06/2025,$129.55
62,01/03/2025,$125.37
63,01/02/2025,$120.63
64,12/31/2024,$120.79
65,12/30/2024,$122.44
66,12/27/2024,$125.19
67,12/26/2024,$125.06
68,12/24/2024,$126.29
69,12/23/2024,$124.60
70,12/20/2024,$119.21
71,12/19/2024,$118.88
72,12/18/2024,$121.41
73,12/17/2024,$125.02
74,12/16/2024,$126.69
75,12/13/2024,$126.91
76,12/12/2024,$130.60
77,12/11/2024,$130.15
78,12/10/2024,$127.74
79,12/09/2024,$130.87
80,12/06/2024,$138.59
81,12/05/2024,$141.36
82,12/04/2024,$143.99
83,12/03/2024,$141.98
84,12/02/2024,$142.06
85,11/29/2024,$137.175
86,11/27/2024,$136.24
87,11/26/2024,$137.72
88,11/25/2024,$141.13
89,11/22/2024,$138.35
90,11/21/2024,$137.49
91,11/20/2024,$137.60
92,11/19/2024,$139.39
93,11/18/2024,$138.93
94,11/15/2024,$134.90
95,11/14/2024,$138.84
96,11/13/2024,$139.30
97,11/12/2024,$143.63
98,11/11/2024,$147.35
99,11/08/2024,$147.95
100,11/07/2024,$149.82
101,11/06/2024,$145.10
102,11/05/2024,$141.66
103,11/04/2024,$140.71
104,11/01/2024,$141.86
105,10/31/2024,$144.07
106,10/30/2024,$148.60
107,10/29/2024,$166.25
108,10/28/2024,$159.92
109,10/25/2024,$156.23
110,10/24/2024,$153.44
111,10/23/2024,$152.91
112,10/22/2024,$154.09
113,10/21/2024,$157.90
114,10/18/2024,$155.97
115,10/17/2024,$156.25
116,10/16/2024,$156.13
117,10/15/2024,$156.64
118,10/14/2024,$165.27
119,10/11/2024,$167.89
120,10/10/2024,$164.18
121,10/09/2024,$171.02
122,10/08/2024,$172.80
123,10/07/2024,$170.97
124,10/04/2024,$170.90
125,10/03/2024,$162.85
126,10/02/2024,$159.78
127,10/01/2024,$159.75
128,09/30/2024,$164.08
129,09/27/2024,$164.35
130,09/26/2024,$167.49
131,09/25/2024,$162.02
132,09/24/2024,$158.32
133,09/23/2024,$156.75
134,09/20/2024,$155.95
135,09/19/2024,$156.74
136,09/18/2024,$148.29
137,09/17/2024,$150.82
138,09/16/2024,$152.08
139,09/13/2024,$152.31
140,09/12/2024,$150.77
141,09/11/2024,$149.86
142,09/10/2024,$142.84
143,09/09/2024,$138.15
144,09/06/2024,$134.35
145,09/05/2024,$139.44
146,09/04/2024,$140.87
147,09/03/2024,$136.94
148,08/30/2024,$148.56
149,08/29/2024,$145.49
150,08/28/2024,$146.36
151,08/27/2024,$150.50
152,08/26/2024,$149.99
153,08/23/2024,$154.98
154,08/22/2024,$151.70
155,08/21/2024,$157.81
156,08/20/2024,$156.40
157,08/19/2024,$155.28
158,08/16/2024,$148.56
159,08/15/2024,$147.36
160,08/14/2024,$140.75
161,08/13/2024,$141.13
162,08/12/2024,$136.77
163,08/09/2024,$134.27
164,08/08/2024,$136.32
165,08/07/2024,$128.67
166,08/06/2024,$130.18
167,08/05/2024,$134.82
168,08/02/2024,$132.50
169,08/01/2024,$132.54
170,07/31/2024,$144.48
171,07/30/2024,$138.44
172,07/29/2024,$139.75
173,07/26/2024,$139.99
174,07/25/2024,$138.32
175,07/24/2024,$144.63
176,07/23/2024,$154.00
177,07/22/2024,$155.87
178,07/19/2024,$151.58
