,Date,Price
0,04/04/2025,$171.00
1,04/03/2025,$178.41
2,04/02/2025,$196.01
3,04/01/2025,$192.17
4,03/31/2025,$190.26
5,03/28/2025,$192.72
6,03/27/2025,$201.36
7,03/26/2025,$201.13
8,03/25/2025,$205.71
9,03/24/2025,$203.26
10,03/21/2025,$196.21
11,03/20/2025,$194.95
12,03/19/2025,$195.54
13,03/18/2025,$192.82
14,03/17/2025,$195.74
15,03/14/2025,$197.95
16,03/13/2025,$193.89
17,03/12/2025,$198.89
18,03/11/2025,$196.59
19,03/10/2025,$194.54
20,03/07/2025,$199.25
21,03/06/2025,$200.70
22,03/05/2025,$208.36
23,03/04/2025,$203.80
24,03/03/2025,$205.02
25,02/28/2025,$212.28
26,02/27/2025,$208.74
27,02/26/2025,$214.35
28,02/25/2025,$212.80
29,02/24/2025,$212.71
30,02/21/2025,$216.58
31,02/20/2025,$222.88
32,02/19/2025,$226.63
33,02/18/2025,$226.65
34,02/14/2025,$228.68
35,02/13/2025,$230.37
36,02/12/2025,$228.93
37,02/11/2025,$232.76
38,02/10/2025,$233.14
39,02/07/2025,$229.15
40,02/06/2025,$238.83
41,02/05/2025,$236.17
42,02/04/2025,$242.06
43,02/03/2025,$237.42
44,01/31/2025,$237.68
45,01/30/2025,$234.64
46,01/29/2025,$237.07
47,01/28/2025,$238.15
48,01/27/2025,$235.42
49,01/24/2025,$234.85
50,01/23/2025,$235.42
51,01/22/2025,$235.01
52,01/21/2025,$230.71
53,01/17/2025,$225.94
54,01/16/2025,$220.66
55,01/15/2025,$223.35
56,01/14/2025,$217.76
57,01/13/2025,$218.46
58,01/10/2025,$218.94
59,01/08/2025,$222.13
60,01/07/2025,$222.11
61,01/06/2025,$227.61
62,01/03/2025,$224.19
63,01/02/2025,$220.22
64,12/31/2024,$219.39
65,12/30/2024,$221.30
66,12/27/2024,$223.75
67,12/26/2024,$227.05
68,12/24/2024,$229.05
69,12/23/2024,$225.06
70,12/20/2024,$224.92
71,12/19/2024,$223.29
72,12/18/2024,$220.52
73,12/17/2024,$231.15
74,12/16/2024,$232.93
75,12/13/2024,$227.46
76,12/12/2024,$228.97
77,12/11/2024,$230.26
78,12/10/2024,$225.04
79,12/09/2024,$226.09
80,12/06/2024,$227.03
81,12/05/2024,$220.55
82,12/04/2024,$218.16
83,12/03/2024,$213.44
84,12/02/2024,$210.71
85,11/29/2024,$207.89
86,11/27/2024,$205.74
87,11/26/2024,$207.86
88,11/25/2024,$201.45
89,11/22/2024,$197.12
90,11/21/2024,$198.38
91,11/20/2024,$202.88
92,11/19/2024,$204.61
93,11/18/2024,$201.70
94,11/15/2024,$202.61
95,11/14/2024,$211.48
96,11/13/2024,$214.10
97,11/12/2024,$208.91
98,11/11/2024,$206.84
99,11/08/2024,$208.18
100,11/07/2024,$210.05
101,11/06/2024,$207.09
102,11/05/2024,$199.50
103,11/04/2024,$195.78
104,11/01/2024,$197.93
105,10/31/2024,$186.40
106,10/30/2024,$192.73
107,10/29/2024,$190.83
108,10/28/2024,$188.39
109,10/25/2024,$187.83
110,10/24/2024,$186.38
111,10/23/2024,$184.71
112,10/22/2024,$189.70
113,10/21/2024,$189.07
114,10/18/2024,$188.99
115,10/17/2024,$187.53
116,10/16/2024,$186.89
117,10/15/2024,$187.69
118,10/14/2024,$187.54
119,10/11/2024,$188.82
120,10/10/2024,$186.65
121,10/09/2024,$185.17
122,10/08/2024,$182.72
123,10/07/2024,$180.80
124,10/04/2024,$186.51
125,10/03/2024,$181.96
126,10/02/2024,$184.76
