,Date,Price
0,04/04/2025,$54.54
1,04/03/2025,$57.31
2,04/02/2025,$61.82
3,04/01/2025,$61.80
4,03/31/2025,$61.71
5,03/28/2025,$60.86
6,03/27/2025,$61.40
7,03/26/2025,$61.80
8,03/25/2025,$60.99
9,03/24/2025,$60.97
10,03/21/2025,$60.30
11,03/20/2025,$60.62
12,03/19/2025,$61.12
13,03/18/2025,$60.30
14,03/17/2025,$60.89
15,03/14/2025,$60.50
16,03/13/2025,$59.67
17,03/12/2025,$60.46
18,03/11/2025,$60.67
19,03/10/2025,$62.06
20,03/07/2025,$63.94
21,03/06/2025,$63.41
22,03/05/2025,$63.96
23,03/04/2025,$63.26
24,03/03/2025,$63.48
25,02/28/2025,$64.11
26,02/27/2025,$63.81
27,02/26/2025,$64.08
28,02/25/2025,$64.27
29,02/24/2025,$63.24
30,02/21/2025,$63.98
31,02/20/2025,$64.67
32,02/19/2025,$64.84
33,02/18/2025,$64.59
34,02/14/2025,$64.87
35,02/13/2025,$63.84
36,02/12/2025,$62.53
37,02/11/2025,$62.43
38,02/10/2025,$62.81
39,02/07/2025,$62.27
40,02/06/2025,$62.27
41,02/05/2025,$62.57
42,02/04/2025,$61.34
43,02/03/2025,$61.04
44,01/31/2025,$60.60
45,01/30/2025,$60.47
46,01/29/2025,$59.55
47,01/28/2025,$59.43
48,01/27/2025,$59.08
49,01/24/2025,$62.23
50,01/23/2025,$62.23
51,01/22/2025,$61.63
52,01/21/2025,$61.03
53,01/17/2025,$60.23
54,01/16/2025,$59.82
55,01/15/2025,$59.98
56,01/14/2025,$59.33
57,01/13/2025,$58.76
58,01/10/2025,$58.74
59,01/08/2025,$59.20
60,01/07/2025,$58.93
61,01/06/2025,$58.77
62,01/03/2025,$58.86
63,01/02/2025,$59.10
64,12/31/2024,$59.20
65,12/30/2024,$59.19
66,12/27/2024,$59.61
67,12/26/2024,$59.98
68,12/24/2024,$59.85
69,12/23/2024,$58.98
70,12/20/2024,$58.52
71,12/19/2024,$57.63
72,12/18/2024,$57.53
73,12/17/2024,$58.52
74,12/16/2024,$58.35
75,12/13/2024,$58.62
76,12/12/2024,$58.85
77,12/11/2024,$58.59
78,12/10/2024,$58.72
79,12/09/2024,$58.95
80,12/06/2024,$59.89
81,12/05/2024,$60.02
82,12/04/2024,$59.62
83,12/03/2024,$59.48
84,12/02/2024,$59.43
85,11/29/2024,$59.21
86,11/27/2024,$59.29
87,11/26/2024,$59.59
88,11/25/2024,$58.74
89,11/22/2024,$58.55
90,11/21/2024,$57.56
91,11/20/2024,$57.50
92,11/19/2024,$57.01
93,11/18/2024,$57.31
94,11/15/2024,$57.46
95,11/14/2024,$57.92
96,11/13/2024,$59.18
97,11/12/2024,$58.71
98,11/11/2024,$58.63
99,11/08/2024,$58.06
100,11/07/2024,$58.08
101,11/06/2024,$57.87
102,11/05/2024,$56.16
103,11/04/2024,$55.83
104,11/01/2024,$55.50
105,10/31/2024,$54.77
106,10/30/2024,$55.59
107,10/29/2024,$55.68
108,10/28/2024,$55.28
109,10/25/2024,$55.74
110,10/24/2024,$55.96
111,10/23/2024,$56.28
112,10/22/2024,$56.60
113,10/21/2024,$56.59
114,10/18/2024,$56.76
115,10/17/2024,$56.40
116,10/16/2024,$56.38
117,10/15/2024,$54.08
118,10/14/2024,$54.27
119,10/11/2024,$54.25
120,10/10/2024,$53.54
121,10/09/2024,$53.56
122,10/08/2024,$52.73
123,10/07/2024,$52.51
124,10/04/2024,$52.75
125,10/03/2024,$52.43
126,10/02/2024,$52.62
127,10/01/2024,$52.74
128,09/30/2024,$53.22
129,09/27/2024,$53.02
130,09/26/2024,$52.85
