,Date,Price
0,04/04/2025,$504.73
1,04/03/2025,$531.62
2,04/02/2025,$583.93
3,04/01/2025,$586.00
4,03/31/2025,$576.36
5,03/28/2025,$576.74
6,03/27/2025,$602.58
7,03/26/2025,$610.98
8,03/25/2025,$626.31
9,03/24/2025,$618.85
10,03/21/2025,$596.25
11,03/20/2025,$586.00
12,03/19/2025,$584.06
13,03/18/2025,$582.36
14,03/17/2025,$604.90
15,03/14/2025,$607.60
16,03/13/2025,$590.64
17,03/12/2025,$619.56
18,03/11/2025,$605.71
19,03/10/2025,$597.99
20,03/07/2025,$625.66
21,03/06/2025,$627.93
22,03/05/2025,$656.47
23,03/04/2025,$640.00
24,03/03/2025,$655.05
25,02/28/2025,$668.20
26,02/27/2025,$658.24
27,02/26/2025,$673.70
28,02/25/2025,$657.50
29,02/24/2025,$668.13
30,02/21/2025,$683.55
31,02/20/2025,$694.84
32,02/19/2025,$703.77
33,02/18/2025,$716.37
34,02/14/2025,$736.67
35,02/13/2025,$728.56
36,02/12/2025,$725.38
37,02/11/2025,$719.80
38,02/10/2025,$717.40
39,02/07/2025,$714.52
40,02/06/2025,$711.99
41,02/05/2025,$704.87
42,02/04/2025,$704.19
43,02/03/2025,$697.46
44,01/31/2025,$689.18
45,01/30/2025,$687.00
46,01/29/2025,$676.49
47,01/28/2025,$674.33
48,01/27/2025,$659.88
49,01/24/2025,$647.49
50,01/23/2025,$636.45
51,01/22/2025,$623.50
52,01/21/2025,$616.46
53,01/17/2025,$612.77
54,01/16/2025,$611.30
55,01/15/2025,$617.12
56,01/14/2025,$594.25
57,01/13/2025,$608.33
58,01/10/2025,$615.86
59,01/08/2025,$610.72
60,01/07/2025,$617.89
61,01/06/2025,$630.20
62,01/03/2025,$604.63
63,01/02/2025,$599.24
64,12/31/2024,$585.51
65,12/30/2024,$591.24
66,12/27/2024,$599.81
67,12/26/2024,$603.35
68,12/24/2024,$607.75
69,12/23/2024,$599.85
70,12/20/2024,$585.25
71,12/19/2024,$595.57
72,12/18/2024,$597.19
73,12/17/2024,$619.44
74,12/16/2024,$624.24
75,12/13/2024,$620.35
76,12/12/2024,$630.79
77,12/11/2024,$632.68
78,12/10/2024,$619.32
79,12/09/2024,$613.57
80,12/06/2024,$623.77
81,12/05/2024,$608.93
82,12/04/2024,$613.78
83,12/03/2024,$613.65
84,12/02/2024,$592.83
85,11/29/2024,$574.32
86,11/27/2024,$569.20
87,11/26/2024,$573.54
88,11/25/2024,$565.11
89,11/22/2024,$559.14
90,11/21/2024,$563.09
91,11/20/2024,$565.52
92,11/19/2024,$561.09
93,11/18/2024,$554.40
94,11/15/2024,$554.08
95,11/14/2024,$577.16
96,11/13/2024,$580.00
97,11/12/2024,$584.82
98,11/11/2024,$583.17
99,11/08/2024,$589.34
100,11/07/2024,$591.70
101,11/06/2024,$572.05
102,11/05/2024,$572.43
103,11/04/2024,$560.68
104,11/01/2024,$567.16
105,10/31/2024,$567.58
106,10/30/2024,$591.80
107,10/29/2024,$593.28
108,10/28/2024,$578.16
109,10/25/2024,$573.25
110,10/24/2024,$567.78
111,10/23/2024,$563.69
112,10/22/2024,$582.01
113,10/21/2024,$575.16
114,10/18/2024,$576.47
115,10/17/2024,$576.93
116,10/16/2024,$576.79
117,10/15/2024,$586.27
118,10/14/2024,$590.42
119,10/11/2024,$589.95
120,10/10/2024,$583.83
121,10/09/2024,$590.51
122,10/08/2024,$592.89
123,10/07/2024,$584.78
124,10/04/2024,$595.94
125,10/03/2024,$582.77
126,10/02/2024,$572.81
127,10/01/2024,$576.47
128,09/30/2024,$572.44
129,09/27/2024,$567.36
130,09/26/2024,$567.84
131,09/25/2024,$568.31
132,09/24/2024,$563.33
133,09/23/2024,$564.41
134,09/20/2024,$561.35
135,09/19/2024,$559.10
