,Date,Price
0,04/04/2025,$359.84
1,04/03/2025,$373.11
2,04/02/2025,$382.14
3,04/01/2025,$382.19
4,03/31/2025,$375.39
5,03/28/2025,$378.80
6,03/27/2025,$390.58
7,03/26/2025,$389.97
8,03/25/2025,$395.16
9,03/24/2025,$393.08
10,03/21/2025,$391.26
11,03/20/2025,$386.84
12,03/19/2025,$387.82
13,03/18/2025,$383.52
14,03/17/2025,$388.70
15,03/14/2025,$388.56
16,03/13/2025,$378.77
17,03/12/2025,$383.27
18,03/11/2025,$380.45
19,03/10/2025,$380.16
20,03/07/2025,$393.31
21,03/06/2025,$396.89
22,03/05/2025,$401.02
23,03/04/2025,$388.61
24,03/03/2025,$388.49
25,02/28/2025,$396.99
26,02/27/2025,$392.53
27,02/26/2025,$399.73
28,02/25/2025,$397.90
29,02/24/2025,$404.00
30,02/21/2025,$408.21
31,02/20/2025,$416.13
32,02/19/2025,$414.77
33,02/18/2025,$409.64
34,02/14/2025,$408.43
35,02/13/2025,$410.54
36,02/12/2025,$409.04
37,02/11/2025,$411.44
38,02/10/2025,$412.22
39,02/07/2025,$409.75
40,02/06/2025,$415.82
41,02/05/2025,$413.29
42,02/04/2025,$412.37
43,02/03/2025,$410.92
44,01/31/2025,$415.06
45,01/30/2025,$414.99
46,01/29/2025,$442.33
47,01/28/2025,$447.20
48,01/27/2025,$434.56
49,01/24/2025,$444.06
50,01/23/2025,$446.71
51,01/22/2025,$446.20
52,01/21/2025,$428.50
53,01/17/2025,$429.03
54,01/16/2025,$424.58
55,01/15/2025,$426.31
56,01/14/2025,$415.67
57,01/13/2025,$417.19
58,01/10/2025,$418.95
59,01/08/2025,$424.56
60,01/07/2025,$422.37
61,01/06/2025,$427.85
62,01/03/2025,$423.35
63,01/02/2025,$418.58
64,12/31/2024,$421.50
65,12/30/2024,$424.83
66,12/27/2024,$430.53
67,12/26/2024,$438.11
68,12/24/2024,$439.33
69,12/23/2024,$435.25
70,12/20/2024,$436.60
71,12/19/2024,$437.03
72,12/18/2024,$437.39
73,12/17/2024,$454.46
74,12/16/2024,$451.59
75,12/13/2024,$447.27
76,12/12/2024,$449.56
77,12/11/2024,$448.99
78,12/10/2024,$443.33
79,12/09/2024,$446.02
80,12/06/2024,$443.57
81,12/05/2024,$442.62
82,12/04/2024,$437.42
83,12/03/2024,$431.20
84,12/02/2024,$430.98
85,11/29/2024,$423.46
86,11/27/2024,$422.99
87,11/26/2024,$427.99
88,11/25/2024,$418.79
89,11/22/2024,$417.00
90,11/21/2024,$412.87
91,11/20/2024,$415.49
92,11/19/2024,$417.79
93,11/18/2024,$415.76
94,11/15/2024,$415.00
95,11/14/2024,$426.89
96,11/13/2024,$425.20
97,11/12/2024,$423.03
98,11/11/2024,$418.01
99,11/08/2024,$422.54
100,11/07/2024,$425.43
