,Date,Price
0,04/04/2025,$855.86
1,04/03/2025,$917.05
2,04/02/2025,$935.52
3,04/01/2025,$928.38
4,03/31/2025,$932.53
5,03/28/2025,$933.85
6,03/27/2025,$976.72
7,03/26/2025,$970.65
8,03/25/2025,$997.28
9,03/24/2025,$971.99
10,03/21/2025,$960.29
11,03/20/2025,$950.84
12,03/19/2025,$959.49
13,03/18/2025,$929.98
14,03/17/2025,$950.02
15,03/14/2025,$918.00
16,03/13/2025,$890.17
17,03/12/2025,$919.68
18,03/11/2025,$895.10
19,03/10/2025,$866.68
20,03/07/2025,$891.11
21,03/06/2025,$906.36
22,03/05/2025,$990.92
23,03/04/2025,$972.58
24,03/03/2025,$973.70
25,02/28/2025,$980.56
26,02/27/2025,$963.07
27,02/26/2025,$990.06
28,02/25/2025,$977.24
29,02/24/2025,$988.47
30,02/21/2025,$1003.15
31,02/20/2025,$1024.54
32,02/19/2025,$1043.33
33,02/18/2025,$1035.85
34,02/14/2025,$1058.60
35,02/13/2025,$1043.69
36,02/12/2025,$1027.31
37,02/11/2025,$1008.08
38,02/10/2025,$1027.60
39,02/07/2025,$1013.93
40,02/06/2025,$1015.68
41,02/05/2025,$1011.11
42,02/04/2025,$994.87
43,02/03/2025,$978.94
44,01/31/2025,$976.76
45,01/30/2025,$973.24
46,01/29/2025,$978.15
47,01/28/2025,$971.83
48,01/27/2025,$971.89
49,01/24/2025,$977.59
50,01/23/2025,$984.86
51,01/22/2025,$953.99
52,01/21/2025,$869.68
53,01/17/2025,$858.10
54,01/16/2025,$842.37
55,01/15/2025,$848.26
56,01/14/2025,$828.40
57,01/13/2025,$840.29
58,01/10/2025,$837.69
59,01/08/2025,$875.00
60,01/07/2025,$879.19
61,01/06/2025,$881.79
62,01/03/2025,$881.05
63,01/02/2025,$886.73
64,12/31/2024,$891.32
65,12/30/2024,$900.43
66,12/27/2024,$907.55
67,12/26/2024,$924.14
68,12/24/2024,$932.12
69,12/23/2024,$911.45
70,12/20/2024,$909.05
71,12/19/2024,$902.04
72,12/18/2024,$889.55
73,12/17/2024,$919.13
74,12/16/2024,$921.08
75,12/13/2024,$918.87
76,12/12/2024,$925.55
77,12/11/2024,$936.56
78,12/10/2024,$913.35
79,12/09/2024,$913.69
80,12/06/2024,$934.74
81,12/05/2024,$917.87
82,12/04/2024,$911.06
83,12/03/2024,$902.17
84,12/02/2024,$897.74
85,11/29/2024,$886.81
86,11/27/2024,$877.34
87,11/26/2024,$872.60
88,11/25/2024,$865.59
89,11/22/2024,$897.79
90,11/21/2024,$897.48
91,11/20/2024,$883.85
92,11/19/2024,$871.32
93,11/18/2024,$847.05
94,11/15/2024,$823.96
95,11/14/2024,$837.26
96,11/13/2024,$830.47
97,11/12/2024,$819.50
98,11/11/2024,$805.44
99,11/08/2024,$795.04
100,11/07/2024,$796.54
101,11/06/2024,$780.21
102,11/05/2024,$763.91
103,11/04/2024,$755.51
104,11/01/2024,$756.10
105,10/31/2024,$756.03
106,10/30/2024,$753.74
107,10/29/2024,$759.44
108,10/28/2024,$749.12
109,10/25/2024,$754.68
110,10/24/2024,$754.55
111,10/23/2024,$749.29
112,10/22/2024,$764.24
113,10/21/2024,$772.07
114,10/18/2024,$763.89
115,10/17/2024,$687.65
116,10/16/2024,$702.00
117,10/15/2024,$705.98
118,10/14/2024,$713.00
119,10/11/2024,$722.79
120,10/10/2024,$730.29
121,10/09/2024,$727.43
122,10/08/2024,$721.76
123,10/07/2024,$701.92
124,10/04/2024,$719.70
125,10/03/2024,$706.80
126,10/02/2024,$711.09
127,10/01/2024,$706.13
128,09/30/2024,$709.27
129,09/27/2024,$707.35
130,09/26/2024,$711.43
131,09/25/2024,$721.56
132,09/24/2024,$722.26
133,09/23/2024,$705.37
134,09/20/2024,$701.03
135,09/19/2024,$704.32
136,09/18/2024,$690.47
137,09/17/2024,$706.91
138,09/16/2024,$696.50
139,09/13/2024,$697.06
140,09/12/2024,$686.80
141,09/11/2024,$681.47
142,09/10/2024,$673.62
143,09/09/2024,$675.42
144,09/06/2024,$665.77
145,09/05/2024,$683.62
146,09/04/2024,$679.68
147,09/03/2024,$675.32
148,08/30/2024,$701.35
149,08/29/2024,$692.48
150,08/28/2024,$683.84
151,08/27/2024,$695.72
152,08/26/2024,$688.44
153,08/23/2024,$686.73
154,08/22/2024,$688.96
155,08/21/2024,$697.12
156,08/20/2024,$698.54
157,08/19/2024,$688.53
158,08/16/2024,$674.07
159,08/15/2024,$663.22
160,08/14/2024,$661.68
161,08/13/2024,$648.02
162,08/12/2024,$633.14
163,08/09/2024,$633.94
164,08/08/2024,$630.35
165,08/07/2024,$611.48
166,08/06/2024,$609.57
167,08/05/2024,$598.55
168,08/02/2024,$613.64
169,08/01/2024,$624.85
170,07/31/2024,$628.35
171,07/30/2024,$622.58
172,07/29/2024,$626.96
173,07/26/2024,$631.37
174,07/25/2024,$634.09
175,07/24/2024,$635.99
176,07/23/2024,$642.76
177,07/22/2024,$647.50
178,07/19/2024,$633.34
179,07/18/2024,$643.04
180,07/17/2024,$647.46
181,07/16/2024,$656.32
182,07/15/2024,$656.45
183,07/12/2024,$647.60
184,07/11/2024,$652.75
185,07/10/2024,$677.65
186,07/09/2024,$685.74
187,07/08/2024,$685.74
188,07/05/2024,$690.65
189,07/03/2024,$682.51
190,07/02/2024,$679.58
191,07/01/2024,$673.61
192,06/28/2024,$674.88
193,06/27/2024,$684.34
194,06/26/2024,$677.69
195,06/25/2024,$672.41
196,06/24/2024,$669.02
197,06/21/2024,$686.12
198,06/20/2024,$679.03
199,06/18/2024,$685.67
200,06/17/2024,$675.83
201,06/14/2024,$669.38
202,06/13/2024,$653.26
203,06/12/2024,$650.06
204,06/11/2024,$648.55
205,06/10/2024,$644.50
206,06/07/2024,$641.47
207,06/06/2024,$648.52
208,06/05/2024,$650.27
209,06/04/2024,$631.62
210,06/03/2024,$633.79
211,05/31/2024,$641.62
212,05/30/2024,$647.66
213,05/29/2024,$654.62
214,05/28/2024,$649.00
215,05/24/2024,$646.75
216,05/23/2024,$635.67
217,05/22/2024,$640.47
218,05/21/2024,$650.61
219,05/20/2024,$640.82
220,05/17/2024,$621.10
221,05/16/2024,$610.52
222,05/15/2024,$613.52
223,05/14/2024,$613.66
224,05/13/2024,$616.59
225,05/10/2024,$610.87
226,05/09/2024,$612.09
227,05/08/2024,$609.47
228,05/07/2024,$606.00
