,Date,Price
0,04/04/2025,$127.46
1,04/03/2025,$139.42
2,04/02/2025,$154.08
3,04/01/2025,$153.05
4,03/31/2025,$153.61
5,03/28/2025,$152.72
6,03/27/2025,$157.97
7,03/26/2025,$158.39
8,03/25/2025,$160.15
9,03/24/2025,$160.08
10,03/21/2025,$156.82
11,03/20/2025,$157.95
12,03/19/2025,$158.26
13,03/18/2025,$156.29
14,03/17/2025,$157.95
15,03/14/2025,$156.58
16,03/13/2025,$151.94
17,03/12/2025,$152.80
18,03/11/2025,$153.10
19,03/10/2025,$154.98
20,03/07/2025,$161.22
21,03/06/2025,$156.04
22,03/05/2025,$158.49
23,03/04/2025,$154.46
24,03/03/2025,$153.62
25,02/28/2025,$157.17
26,02/27/2025,$154.44
27,02/26/2025,$162.10
28,02/25/2025,$161.22
29,02/24/2025,$161.10
30,02/21/2025,$165.43
31,02/20/2025,$173.70
32,02/19/2025,$175.22
33,02/18/2025,$173.64
34,02/14/2025,$172.23
35,02/13/2025,$172.15
36,02/12/2025,$170.29
37,02/11/2025,$171.99
38,02/10/2025,$171.36
39,02/07/2025,$167.96
40,02/06/2025,$169.32
41,02/05/2025,$175.86
42,02/04/2025,$173.04
43,02/03/2025,$170.24
44,01/31/2025,$172.93
45,01/30/2025,$171.93
46,01/29/2025,$171.71
47,01/28/2025,$171.55
48,01/27/2025,$171.18
49,01/24/2025,$172.11
50,01/23/2025,$174.36
51,01/22/2025,$170.24
52,01/21/2025,$167.27
53,01/17/2025,$164.56
54,01/16/2025,$161.43
55,01/15/2025,$164.41
56,01/14/2025,$159.53
57,01/13/2025,$157.13
58,01/10/2025,$156.98
59,01/08/2025,$159.08
60,01/07/2025,$160.52
61,01/06/2025,$159.85
62,01/03/2025,$157.83
63,01/02/2025,$153.64
64,12/31/2024,$153.62
65,12/30/2024,$154.58
66,12/27/2024,$157.24
67,12/26/2024,$158.53
68,12/24/2024,$159.36
69,12/23/2024,$158.24
70,12/20/2024,$152.89
71,12/19/2024,$150.40
72,12/18/2024,$153.05
73,12/17/2024,$157.92
74,12/16/2024,$157.89
75,12/13/2024,$158.53
76,12/12/2024,$158.24
77,12/11/2024,$159.83
78,12/10/2024,$156.46
79,12/09/2024,$160.74
80,12/06/2024,$159.51
81,12/05/2024,$160.39
82,12/04/2024,$163.34
83,12/03/2024,$162.58
84,12/02/2024,$163.03
85,11/29/2024,$158.53
86,11/27/2024,$156.40
87,11/26/2024,$156.93
88,11/25/2024,$158.82
89,11/22/2024,$156.79
90,11/21/2024,$155.46
91,11/20/2024,$154.27
92,11/19/2024,$164.71
93,11/18/2024,$164.50
94,11/15/2024,$160.50
95,11/14/2024,$163.97
96,11/13/2024,$160.42
97,11/12/2024,$163.41
98,11/11/2024,$168.29
99,11/08/2024,$170.91
100,11/07/2024,$172.91
101,11/06/2024,$172.99
102,11/05/2024,$165.91
103,11/04/2024,$165.18
104,11/01/2024,$165.27
105,10/31/2024,$162.77
106,10/30/2024,$167.62
107,10/29/2024,$176.00
108,10/28/2024,$172.22
109,10/25/2024,$170.27
110,10/24/2024,$168.10
111,10/23/2024,$166.60
112,10/22/2024,$173.18
113,10/21/2024,$169.01
114,10/18/2024,$170.92
115,10/17/2024,$171.10
116,10/16/2024,$171.48
117,10/15/2024,$174.09
118,10/14/2024,$178.04
119,10/11/2024,$169.98
120,10/10/2024,$168.52
121,10/09/2024,$170.22
122,10/08/2024,$166.34
123,10/07/2024,$166.94
124,10/04/2024,$168.90
125,10/03/2024,$168.92
126,10/02/2024,$168.32
127,10/01/2024,$165.78
128,09/30/2024,$170.05
129,09/27/2024,$170.13
130,09/26/2024,$172.66
131,09/25/2024,$168.27
132,09/24/2024,$166.95
133,09/23/2024,$165.96
134,09/20/2024,$168.92
135,09/19/2024,$173.92
136,09/18/2024,$168.30
137,09/17/2024,$168.70
138,09/16/2024,$166.61
139,09/13/2024,$167.73
140,09/12/2024,$164.98
141,09/11/2024,$166.56
142,09/10/2024,$161.68
143,09/09/2024,$160.77
144,09/06/2024,$158.19
145,09/05/2024,$163.70
146,09/04/2024,$165.33
147,09/03/2024,$163.24
148,08/30/2024,$175.30
149,08/29/2024,$169.49
150,08/28/2024,$171.85
151,08/27/2024,$173.93
152,08/26/2024,$169.49
153,08/23/2024,$173.50
154,08/22/2024,$169.00
155,08/21/2024,$174.22
156,08/20/2024,$172.11
157,08/19/2024,$174.26
158,08/16/2024,$172.18
159,08/15/2024,$173.34
160,08/14/2024,$167.15
161,08/13/2024,$169.47
162,08/12/2024,$162.89
163,08/09/2024,$164.48
164,08/08/2024,$164.95
165,08/07/2024,$156.12
166,08/06/2024,$158.72
167,08/05/2024,$157.95
168,08/02/2024,$159.31
169,08/01/2024,$164.00
170,07/31/2024,$180.95
171,07/30/2024,$166.94
172,07/29/2024,$178.64
173,07/26/2024,$180.05
174,07/25/2024,$175.39
175,07/24/2024,$181.07
176,07/23/2024,$193.35
177,07/22/2024,$194.97
178,07/19/2024,$186.21
179,07/18/2024,$191.46
180,07/17/2024,$191.60
181,07/16/2024,$209.64
182,07/15/2024,$208.18
183,07/12/2024,$202.43
184,07/11/2024,$199.85
185,07/10/2024,$208.80
186,07/09/2024,$207.12
187,07/08/2024,$207.89
188,07/05/2024,$205.75
189,07/03/2024,$203.81
190,07/02/2024,$200.16
191,07/01/2024,$200.03
192,06/28/2024,$199.18
193,06/27/2024,$195.15
194,06/26/2024,$197.33
195,06/25/2024,$202.17
196,06/24/2024,$200.84
197,06/21/2024,$212.53
198,06/20/2024,$215.47
199,06/18/2024,$227.09
200,06/17/2024,$222.22
201,06/14/2024,$215.33
202,06/13/2024,$217.81
203,06/12/2024,$215.39
204,06/11/2024,$208.52
205,06/10/2024,$209.35
206,06/07/2024,$206.62
207,06/06/2024,$209.44
208,06/05/2024,$211.90
209,06/04/2024,$204.37
210,06/03/2024,$205.91
211,05/31/2024,$204.05
212,05/30/2024,$204.80
213,05/29/2024,$208.26
214,05/28/2024,$213.08
215,05/24/2024,$210.36
216,05/23/2024,$201.76
217,05/22/2024,$202.93
218,05/21/2024,$200.85
219,05/20/2024,$197.76
220,05/17/2024,$193.86
221,05/16/2024,$193.27
222,05/15/2024,$194.61
223,05/14/2024,$188.97
224,05/13/2024,$184.21
225,05/10/2024,$182.08
226,05/09/2024,$180.54
227,05/08/2024,$180.55
228,05/07/2024,$180.15
229,05/06/2024,$181.85
230,05/03/2024,$179.64
231,05/02/2024,$180.10
232,05/01/2024,$164.11
233,04/30/2024,$165.85
234,04/29/2024,$169.20
235,04/26/2024,$165.66
236,04/25/2024,$163.30
237,04/24/2024,$163.63
238,04/23/2024,$161.35
239,04/22/2024,$160.18
240,04/19/2024,$157.63
241,04/18/2024,$161.44
242,04/17/2024,$164.32
243,04/16/2024,$168.58
244,04/15/2024,$169.84
245,04/12/2024,$171.29
246,04/11/2024,$175.13
247,04/10/2024,$170.86
248,04/09/2024,$175.57
249,04/08/2024,$173.62
250,04/05/2024,$171.53
251,04/04/2024,$169.76
252,04/03/2024,$173.91
253,04/02/2024,$171.04
254,04/01/2024,$171.72
255,03/28/2024,$169.30
256,03/27/2024,$169.13
257,03/26/2024,$167.07
258,03/25/2024,$167.52
259,03/22/2024,$170.10
260,03/21/2024,$170.85
261,03/20/2024,$167.67
262,03/19/2024,$164.10
263,03/18/2024,$166.92
264,03/15/2024,$167.20
265,03/14/2024,$168.45
266,03/13/2024,$169.25
267,03/12/2024,$173.08
268,03/11/2024,$171.12
269,03/08/2024,$170.57
270,03/07/2024,$175.72
271,03/06/2024,$167.89
272,03/05/2024,$161.45
273,03/04/2024,$166.56
274,03/01/2024,$163.09
275,02/29/2024,$157.79
276,02/28/2024,$155.85
277,02/27/2024,$158.30
278,02/26/2024,$157.03
279,02/23/2024,$154.91
280,02/22/2024,$154.75
281,02/21/2024,$152.01
282,02/20/2024,$151.96
283,02/16/2024,$152.69
284,02/15/2024,$155.98
285,02/14/2024,$153.94
286,02/13/2024,$150.04
287,02/12/2024,$153.10
288,02/09/2024,$151.00
289,02/08/2024,$148.18
290,02/07/2024,$145.89
291,02/06/2024,$144.10
292,02/05/2024,$144.03
293,02/02/2024,$141.69
294,02/01/2024,$141.11
295,01/31/2024,$148.51
296,01/30/2024,$145.98
297,01/29/2024,$149.64
298,01/26/2024,$150.72
299,01/25/2024,$154.47
300,01/24/2024,$154.37
301,01/23/2024,$153.50
302,01/22/2024,$152.87
303,01/19/2024,$151.96
304,01/18/2024,$145.29
305,01/17/2024,$139.32
306,01/16/2024,$141.12
307,01/12/2024,$140.20
308,01/11/2024,$139.03
309,01/10/2024,$139.31
310,01/09/2024,$139.89
311,01/08/2024,$139.03
312,01/05/2024,$136.73
313,01/04/2024,$136.17
314,01/03/2024,$137.60
315,01/02/2024,$140.23
316,12/29/2023,$144.63
317,12/28/2023,$145.86
318,12/27/2023,$145.72
319,12/26/2023,$145.46
320,12/22/2023,$143.49
321,12/21/2023,$142.44
322,12/20/2023,$140.44
323,12/19/2023,$143.23
324,12/18/2023,$141.65
325,12/15/2023,$143.13
326,12/14/2023,$141.50
327,12/13/2023,$138.80
328,12/12/2023,$136.68
329,12/11/2023,$136.10
330,12/08/2023,$132.97
331,12/07/2023,$132.94
332,12/06/2023,$129.96
333,12/05/2023,$130.75
334,12/04/2023,$129.95
335,12/01/2023,$129.67
336,11/30/2023,$129.05
337,11/29/2023,$127.91
338,11/28/2023,$126.59
339,11/27/2023,$128.20
340,11/24/2023,$127.75
341,11/22/2023,$127.50
342,11/21/2023,$127.02
343,11/20/2023,$129.51
344,11/17/2023,$129.47
345,11/16/2023,$128.70
346,11/15/2023,$128.92
347,11/14/2023,$127.36
348,11/13/2023,$123.85
349,11/10/2023,$124.21
350,11/09/2023,$120.10
351,11/08/2023,$120.06
352,11/07/2023,$120.72
353,11/06/2023,$119.93
354,11/03/2023,$119.52
355,11/02/2023,$117.36
356,11/01/2023,$110.89
357,10/31/2023,$108.99
358,10/30/2023,$107.83
359,10/27/2023,$106.46
360,10/26/2023,$105.62
361,10/25/2023,$104.78
362,10/24/2023,$109.39
363,10/23/2023,$108.66
364,10/20/2023,$108.63
365,10/19/2023,$111.28
366,10/18/2023,$110.98
367,10/17/2023,$112.20
368,10/16/2023,$110.51
369,10/13/2023,$108.66
370,10/12/2023,$111.455
371,10/11/2023,$111.12
372,10/10/2023,$112.31
373,10/09/2023,$111.80
374,10/06/2023,$110.88
375,10/05/2023,$109.80
376,10/04/2023,$109.85
377,10/03/2023,$110.19
378,10/02/2023,$111.10
379,09/29/2023,$111.06
380,09/28/2023,$111.10
381,09/27/2023,$109.19
382,09/26/2023,$109.72
383,09/25/2023,$110.43
384,09/22/2023,$107.68
385,09/21/2023,$107.96
386,09/20/2023,$109.22
387,09/19/2023,$110.72
388,09/18/2023,$112.75
389,09/15/2023,$113.14
390,09/14/2023,$114.04
391,09/13/2023,$112.64
392,09/12/2023,$111.23
393,09/11/2023,$110.28
394,09/08/2023,$106.14
395,09/07/2023,$106.40
396,09/06/2023,$114.68
397,09/05/2023,$116.55
398,09/01/2023,$115.385
399,08/31/2023,$114.53
400,08/30/2023,$113.27
401,08/29/2023,$113.78
402,08/28/2023,$111.68
403,08/25/2023,$110.32
404,08/24/2023,$108.51
405,08/23/2023,$111.17
406,08/22/2023,$109.47
407,08/21/2023,$110.68
408,08/18/2023,$110.10
409,08/17/2023,$110.08
410,08/16/2023,$110.15
411,08/15/2023,$111.68
412,08/14/2023,$114.02
413,08/11/2023,$114.61
414,08/10/2023,$115.61
415,08/09/2023,$116.57
416,08/08/2023,$117.66
417,08/07/2023,$119.34
418,08/04/2023,$121.50
419,08/03/2023,$118.70
420,08/02/2023,$129.27
421,08/01/2023,$132.08
422,07/31/2023,$132.17
423,07/28/2023,$129.48
424,07/27/2023,$125.85
425,07/26/2023,$124.02
426,07/25/2023,$125.07
427,07/24/2023,$124.10
428,07/21/2023,$124.72
429,07/20/2023,$120.72
430,07/19/2023,$124.42
431,07/18/2023,$122.86
432,07/17/2023,$123.40
433,07/14/2023,$122.56
434,07/13/2023,$123.12
435,07/12/2023,$118.68
436,07/11/2023,$116.87
437,07/10/2023,$117.12
438,07/07/2023,$115.94
439,07/06/2023,$115.22
440,07/05/2023,$117.13
441,07/03/2023,$120.09
442,06/30/2023,$119.04
443,06/29/2023,$118.06
444,06/28/2023,$117.54
445,06/27/2023,$119.79
446,06/26/2023,$116.63
447,06/23/2023,$113.43
448,06/22/2023,$116.40
449,06/21/2023,$115.76
450,06/20/2023,$119.82
451,06/16/2023,$122.68
452,06/15/2023,$123.61
453,06/14/2023,$123.40
454,06/13/2023,$124.43
455,06/12/2023,$122.14
456,06/09/2023,$119.11
457,06/08/2023,$116.35
458,06/07/2023,$115.18
459,06/06/2023,$116.36
460,06/05/2023,$112.73
461,06/02/2023,$115.62
462,06/01/2023,$115.83
463,05/31/2023,$113.41
464,05/30/2023,$116.00
465,05/26/2023,$110.35
466,05/25/2023,$104.02
467,05/24/2023,$103.02
468,05/23/2023,$103.56
469,05/22/2023,$105.28
470,05/19/2023,$105.86
471,05/18/2023,$106.96
472,05/17/2023,$104.81
473,05/16/2023,$103.79
474,05/15/2023,$106.28
475,05/12/2023,$103.62
476,05/11/2023,$104.06
477,05/10/2023,$106.46
478,05/09/2023,$105.77
479,05/08/2023,$108.31
480,05/05/2023,$108.78
481,05/04/2023,$106.58
482,05/03/2023,$112.83
483,05/02/2023,$116.11
484,05/01/2023,$115.84
485,04/28/2023,$116.80
486,04/27/2023,$113.92
487,04/26/2023,$114.16
488,04/25/2023,$114.05
489,04/24/2023,$117.35
490,04/21/2023,$117.76
491,04/20/2023,$118.64
492,04/19/2023,$118.54
493,04/18/2023,$118.36
494,04/17/2023,$119.38
495,04/14/2023,$120.16
496,04/13/2023,$121.13
497,04/12/2023,$120.27
498,04/11/2023,$123.57
499,04/10/2023,$124.29
500,04/06/2023,$123.00
501,04/05/2023,$123.04
502,04/04/2023,$122.30
503,04/03/2023,$124.74
504,03/31/2023,$127.58
505,03/30/2023,$127.40
506,03/29/2023,$125.09
507,03/28/2023,$121.34
508,03/27/2023,$123.60
509,03/24/2023,$124.76
510,03/23/2023,$124.15
511,03/22/2023,$121.97
512,03/21/2023,$123.80
513,03/20/2023,$121.82
514,03/17/2023,$120.73
515,03/16/2023,$120.51
516,03/15/2023,$115.49
517,03/14/2023,$116.55
518,03/13/2023,$114.43
519,03/10/2023,$115.19
520,03/09/2023,$117.22
521,03/08/2023,$121.20
522,03/07/2023,$119.19
523,03/06/2023,$122.41
524,03/03/2023,$123.60
525,03/02/2023,$123.78
526,03/01/2023,$123.68
527,02/28/2023,$123.53
528,02/27/2023,$123.42
