,Date,Price
0,4/4/2025,$82.10
1,4/3/2025,$88.26
2,4/2/2025,$99.41
3,4/1/2025,$98.23
4,3/31/2025,$98.09
5,3/28/2025,$97.73
6,3/27/2025,$98.85
7,3/26/2025,$97.97
8,3/25/2025,$95.88
9,3/24/2025,$95.72
10,3/21/2025,$97.07
11,3/20/2025,$99.28
12,3/19/2025,$99.19
13,3/18/2025,$98.28
14,3/17/2025,$99.08
15,3/14/2025,$98.11
16,3/13/2025,$96.04
17,3/12/2025,$98.69
18,3/11/2025,$99.58
19,3/10/2025,$101.13
20,3/7/2025,$106.48
21,3/6/2025,$105.47
22,3/5/2025,$111.69
23,3/4/2025,$112.06
24,3/3/2025,$115.41
25,2/28/2025,$115.81
26,2/27/2025,$114.49
27,2/26/2025,$113.00
28,2/25/2025,$114.59
29,2/24/2025,$113.19
30,2/21/2025,$111.75
31,2/20/2025,$113.34
32,2/19/2025,$112.49
33,2/18/2025,$113.03
34,2/14/2025,$112.55
35,2/13/2025,$113.00
36,2/12/2025,$113.04
37,2/11/2025,$111.03
38,2/10/2025,$111.45
39,2/7/2025,$112.20
40,2/6/2025,$111.70
41,2/5/2025,$112.25
42,2/4/2025,$110.60
43,2/3/2025,$108.16
44,1/31/2025,$107.68
45,1/30/2025,$109.00
46,1/29/2025,$108.58
47,1/28/2025,$100.41
48,1/27/2025,$100.02
49,1/24/2025,$98.81
50,1/23/2025,$97.99
51,1/22/2025,$97.73
52,1/21/2025,$97.98
53,1/17/2025,$95.13
54,1/16/2025,$94.43
55,1/15/2025,$93.08
56,1/14/2025,$93.07
57,1/13/2025,$93.51
58,1/10/2025,$92.25
59,1/8/2025,$92.60
60,1/7/2025,$92.84
61,1/6/2025,$93.13
62,1/3/2025,$92.58
63,1/2/2025,$92.17
64,12/31/2024,$91.25
65,12/30/2024,$90.58
66,12/27/2024,$92.25
67,12/26/2024,$91.86
68,12/24/2024,$89.91
69,12/23/2024,$87.44
70,12/20/2024,$87.97
71,12/19/2024,$88.76
72,12/18/2024,$89.90
73,12/17/2024,$92.09
74,12/16/2024,$93.12
75,12/13/2024,$97.42
76,12/12/2024,$97.82
77,12/11/2024,$98.42
78,12/10/2024,$98.16
79,12/9/2024,$99.31
80,12/6/2024,$100.11
81,12/5/2024,$99.23
82,12/4/2024,$100.70
83,12/3/2024,$101.57
84,12/2/2024,$101.51
85,11/29/2024,$102.46
86,11/27/2024,$101.51
87,11/26/2024,$100.68
88,11/25/2024,$101.84
89,11/22/2024,$102.50
90,11/21/2024,$100.06
91,11/20/2024,$98.26
92,11/19/2024,$98.35
93,11/18/2024,$100.40
94,11/15/2024,$98.42
95,11/14/2024,$99.23
96,11/13/2024,$99.80
97,11/12/2024,$98.80
98,11/11/2024,$100.31
99,11/8/2024,$97.55
100,11/7/2024,$96.12
101,11/6/2024,$96.08
102,11/5/2024,$97.09
103,11/4/2024,$97.03
104,11/1/2024,$98.87
105,10/31/2024,$97.70
106,10/30/2024,$97.32
107,10/29/2024,$97.39
108,10/28/2024,$98.02
109,10/25/2024,$97.31
110,10/24/2024,$97.15
111,10/23/2024,$97.65
112,10/22/2024,$96.82
113,10/21/2024,$96.45
114,10/18/2024,$96.84
115,10/17/2024,$95.27
116,10/16/2024,$95.46
117,10/15/2024,$95.04
118,10/14/2024,$94.76
119,10/11/2024,$95.55
120,10/10/2024,$93.88
121,10/9/2024,$95.88
122,10/8/2024,$96.21
123,10/7/2024,$96.09
124,10/4/2024,$96.58
125,10/3/2024,$95.56
126,10/2/2024,$96.50
127,10/1/2024,$97.43
128,9/30/2024,$97.49
129,9/27/2024,$97.36
130,9/26/2024,$97.47
131,9/25/2024,$95.62
132,9/24/2024,$94.45
133,9/23/2024,$95.48
134,9/20/2024,$96.05
135,9/19/2024,$96.90
136,9/18/2024,$96.12
137,9/17/2024,$96.44
138,9/16/2024,$96.31
139,9/13/2024,$98.57
140,9/12/2024,$99.28
141,9/11/2024,$98.20
142,9/10/2024,$93.34
143,9/9/2024,$92.21
144,9/6/2024,$91.15
145,9/5/2024,$91.56
146,9/4/2024,$92.33
147,9/3/2024,$93.18
148,8/30/2024,$94.57
149,8/29/2024,$94.86
150,8/28/2024,$95.30
151,8/27/2024,$98.60
152,8/26/2024,$95.63
153,8/23/2024,$94.02
154,8/22/2024,$92.43
155,8/21/2024,$92.78
156,8/20/2024,$93.01
157,8/19/2024,$92.30
158,8/16/2024,$94.81
159,8/15/2024,$94.88
160,8/14/2024,$93.90
161,8/13/2024,$95.90
162,8/12/2024,$77.03
163,8/9/2024,$75.09
164,8/8/2024,$75.75
165,8/7/2024,$75.29
166,8/6/2024,$75.37
167,8/5/2024,$73.86
168,8/2/2024,$75.88
169,8/1/2024,$75.11
170,7/31/2024,$77.95
171,7/30/2024,$75.94
172,7/29/2024,$75.20
173,7/26/2024,$74.05
174,7/25/2024,$73.32
175,7/24/2024,$74.68
176,7/23/2024,$76.26
177,7/22/2024,$76.55
178,7/19/2024,$79.27
179,7/18/2024,$74.19
180,7/17/2024,$75.10
181,7/16/2024,$75.51
182,7/15/2024,$72.75
183,7/12/2024,$74.83
184,7/11/2024,$73.30
185,7/10/2024,$72.51
186,7/9/2024,$72.75
187,7/8/2024,$74.57
188,7/5/2024,$76.05
189,7/3/2024,$76.26
190,7/2/2024,$76.83
191,7/1/2024,$77.13
192,6/28/2024,$77.85
193,6/27/2024,$79.24
194,6/26/2024,$79.15
195,6/25/2024,$79.28
196,6/24/2024,$79.73
197,6/21/2024,$79.91
198,6/20/2024,$79.72
199,6/18/2024,$80.20
200,6/17/2024,$81.33
201,6/14/2024,$79.65
202,6/13/2024,$80.24
203,6/12/2024,$79.38
204,6/11/2024,$79.89
205,6/10/2024,$81.60
206,6/7/2024,$81.43
207,6/6/2024,$81.47
208,6/5/2024,$81.16
209,6/4/2024,$82.79
210,6/3/2024,$82.08
211,5/31/2024,$80.22
212,5/30/2024,$78.76
213,5/29/2024,$76.88
214,5/28/2024,$77.48
215,5/24/2024,$78.87
216,5/23/2024,$78.31
217,5/22/2024,$80.72
218,5/21/2024,$77.72
219,5/20/2024,$77.54
220,5/17/2024,$77.85
221,5/16/2024,$75.28
222,5/15/2024,$75.70
223,5/14/2024,$75.63
224,5/13/2024,$76.18
225,5/10/2024,$76.11
226,5/9/2024,$75.68
227,5/8/2024,$73.50
228,5/7/2024,$72.50
229,5/6/2024,$72.90
230,5/3/2024,$73.11
231,5/2/2024,$74.93
232,5/1/2024,$74.44
233,4/30/2024,$88.49
234,4/29/2024,$88.33
235,4/26/2024,$88.25
236,4/25/2024,$87.84
237,4/24/2024,$88.75
238,4/23/2024,$87.87
239,4/22/2024,$88.18
240,4/19/2024,$87.61
241,4/18/2024,$87.15
242,4/17/2024,$86.21
243,4/16/2024,$85.42
244,4/15/2024,$85.17
245,4/12/2024,$84.92
246,4/11/2024,$85.90
247,4/10/2024,$85.95
248,4/9/2024,$87.13
249,4/8/2024,$87.19
250,4/5/2024,$86.85
251,4/4/2024,$87.62
252,4/3/2024,$88.70
253,4/2/2024,$89.30
254,4/1/2024,$91.53
255,3/28/2024,$91.39
256,3/27/2024,$91.50
257,3/26/2024,$90.36
258,3/25/2024,$90.67
259,3/22/2024,$90.71
260,3/21/2024,$91.66
261,3/20/2024,$92.60
262,3/19/2024,$91.59
263,3/18/2024,$91.01
264,3/15/2024,$90.12
265,3/14/2024,$91.66
266,3/13/2024,$91.61
267,3/12/2024,$92.40
268,3/11/2024,$92.07
269,3/8/2024,$91.06
270,3/7/2024,$90.95
271,3/6/2024,$91.65
272,3/5/2024,$91.22
273,3/4/2024,$92.46
274,3/1/2024,$93.16
275,2/29/2024,$94.90
276,2/28/2024,$93.00
277,2/27/2024,$94.13
278,2/26/2024,$94.28
279,2/23/2024,$95.62
280,2/22/2024,$95.78
281,2/21/2024,$95.02
282,2/20/2024,$93.46
283,2/16/2024,$93.22
284,2/15/2024,$93.22
285,2/14/2024,$94.07
286,2/13/2024,$93.87
287,2/12/2024,$95.47
288,2/9/2024,$97.30
289,2/8/2024,$96.59
290,2/7/2024,$95.31
291,2/6/2024,$95.67
292,2/5/2024,$92.51
293,2/2/2024,$92.99
294,2/1/2024,$93.37
295,1/31/2024,$93.03
296,1/30/2024,$94.08
297,1/29/2024,$93.80
298,1/26/2024,$92.80
