,Date,Price
0,04/04/2025,$239.43
1,04/03/2025,$267.28
2,04/02/2025,$282.76
3,04/01/2025,$268.46
4,03/31/2025,$259.16
5,03/28/2025,$263.55
6,03/27/2025,$273.13
7,03/26/2025,$272.06
8,03/25/2025,$288.14
9,03/24/2025,$278.39
10,03/21/2025,$248.71
11,03/20/2025,$236.26
12,03/19/2025,$235.86
13,03/18/2025,$225.31
14,03/17/2025,$238.01
15,03/14/2025,$249.98
16,03/13/2025,$240.68
17,03/12/2025,$248.09
18,03/11/2025,$230.58
19,03/10/2025,$222.15
20,03/07/2025,$262.67
21,03/06/2025,$263.45
22,03/05/2025,$279.10
23,03/04/2025,$272.04
24,03/03/2025,$284.65
25,02/28/2025,$292.98
26,02/27/2025,$281.95
27,02/26/2025,$290.80
28,02/25/2025,$302.80
29,02/24/2025,$330.53
30,02/21/2025,$337.80
31,02/20/2025,$354.40
32,02/19/2025,$360.56
33,02/18/2025,$354.11
34,02/14/2025,$355.84
35,02/13/2025,$355.94
36,02/12/2025,$336.51
37,02/11/2025,$328.50
38,02/10/2025,$350.73
39,02/07/2025,$361.62
40,02/06/2025,$374.32
41,02/05/2025,$378.17
42,02/04/2025,$392.21
43,02/03/2025,$383.68
44,01/31/2025,$404.60
45,01/30/2025,$400.28
46,01/29/2025,$389.10
47,01/28/2025,$398.09
48,01/27/2025,$397.15
49,01/24/2025,$406.58
50,01/23/2025,$412.38
51,01/22/2025,$415.11
52,01/21/2025,$424.07
53,01/17/2025,$426.50
54,01/16/2025,$413.82
55,01/15/2025,$428.22
56,01/14/2025,$396.36
57,01/13/2025,$403.31
58,01/10/2025,$394.74
59,01/08/2025,$394.94
60,01/07/2025,$394.36
61,01/06/2025,$411.05
62,01/03/2025,$410.44
63,01/02/2025,$379.28
64,12/31/2024,$403.84
65,12/30/2024,$417.41
66,12/27/2024,$431.66
67,12/26/2024,$454.13
68,12/24/2024,$462.28
69,12/23/2024,$430.60
70,12/20/2024,$421.06
71,12/19/2024,$436.17
72,12/18/2024,$440.13
73,12/17/2024,$479.86
74,12/16/2024,$463.02
75,12/13/2024,$436.23
76,12/12/2024,$418.10
77,12/11/2024,$424.77
78,12/10/2024,$400.99
79,12/09/2024,$389.79
80,12/06/2024,$389.22
81,12/05/2024,$369.49
82,12/04/2024,$357.93
83,12/03/2024,$351.42
84,12/02/2024,$357.09
85,11/29/2024,$345.16
86,11/27/2024,$332.89
87,11/26/2024,$338.23
88,11/25/2024,$338.59
89,11/22/2024,$352.56
90,11/21/2024,$339.64
91,11/20/2024,$342.03
92,11/19/2024,$346.00
93,11/18/2024,$338.74
94,11/15/2024,$320.72
95,11/14/2024,$311.18
96,11/13/2024,$330.24
97,11/12/2024,$328.49
98,11/11/2024,$350.00
99,11/08/2024,$321.22
100,11/07/2024,$296.91
101,11/06/2024,$288.53
102,11/05/2024,$251.44
103,11/04/2024,$242.84
104,11/01/2024,$248.98
105,10/31/2024,$249.85
106,10/30/2024,$257.55
107,10/29/2024,$259.52
108,10/28/2024,$262.51
109,10/25/2024,$269.19
110,10/24/2024,$260.48
111,10/23/2024,$213.65
112,10/22/2024,$217.97
113,10/21/2024,$218.85
114,10/18/2024,$220.70
115,10/17/2024,$220.89
116,10/16/2024,$221.33
117,10/15/2024,$219.57
118,10/14/2024,$219.16
119,10/11/2024,$217.80
120,10/10/2024,$238.77
121,10/09/2024,$241.05
122,10/08/2024,$244.50
123,10/07/2024,$240.83
124,10/04/2024,$250.08
125,10/03/2024,$240.66
126,10/02/2024,$249.02
127,10/01/2024,$258.02
128,09/30/2024,$261.63
129,09/27/2024,$260.46
130,09/26/2024,$254.22
131,09/25/2024,$257.02
132,09/24/2024,$254.27
133,09/23/2024,$250.00
134,09/20/2024,$238.25
135,09/19/2024,$243.92
136,09/18/2024,$227.20
137,09/17/2024,$227.87
138,09/16/2024,$226.78
139,09/13/2024,$230.29
140,09/12/2024,$229.81
141,09/11/2024,$228.13
142,09/10/2024,$226.17
143,09/09/2024,$216.27
144,09/06/2024,$210.73
145,09/05/2024,$230.17
146,09/04/2024,$219.41
147,09/03/2024,$210.60
148,08/30/2024,$214.11
149,08/29/2024,$206.28
150,08/28/2024,$205.75
151,08/27/2024,$209.21
152,08/26/2024,$213.21
153,08/23/2024,$220.32
154,08/22/2024,$210.66
155,08/21/2024,$223.27
156,08/20/2024,$221.10
157,08/19/2024,$222.72
158,08/16/2024,$216.12
159,08/15/2024,$214.14
160,08/14/2024,$201.38
161,08/13/2024,$207.83
162,08/12/2024,$197.49
163,08/09/2024,$200.00
164,08/08/2024,$198.84
165,08/07/2024,$191.76
166,08/06/2024,$200.64
167,08/05/2024,$198.88
168,08/02/2024,$207.67
169,08/01/2024,$216.86
170,07/31/2024,$232.07
171,07/30/2024,$222.62
172,07/29/2024,$232.10
173,07/26/2024,$219.80
174,07/25/2024,$220.25
175,07/24/2024,$215.99
176,07/23/2024,$246.38
177,07/22/2024,$251.51
